PLR,skypeMetric
0.0,19.313942463241684
0.0,17.740161041725962
0.0,17.75834406346714
0.0,17.42811523860885
0.5,18.98646309522275
0.5,17.17914560802795
0.5,17.43171994978803
0.5,18.02792994391628
0.5,18.24552123885935
3.0,17.680827427656922
3.0,19.773781807166706
3.0,18.207578366557904
3.0,18.43882622562386
3.0,18.17523486605044
5.0,17.919870688731965
5.0,18.130134274107643
5.0,17.641380404842984
5.0,19.041756856978644
5.0,18.290245226992386
10.0,18.41592931259134
10.0,17.787344061952393
10.0,21.373708645186383
10.0,21.151494705779836
10.0,19.57720831831417
0.0,18.09672961542726
0.0,18.8395089064616
0.0,18.68787259072669
0.0,18.130802150123966
0.0,18.1614458465159
0.5,18.931273134221502
0.5,19.090138245134998
0.5,18.611282086127783
0.5,18.901439305921745
0.5,17.977145722856463
3.0,18.689360678781828
3.0,19.037248673857817
3.0,18.290172234680117
3.0,18.113316920568433
3.0,18.859948004168054
5.0,18.2711174110033
5.0,18.30629852160051
5.0,18.26663912882829
5.0,18.521422159519318
5.0,18.47583550522931
10.0,18.829240720431205
10.0,18.29407717966268
10.0,22.08604931638135
10.0,21.469586422421177
10.0,21.306483940904542
0.0,19.231285010370378
0.0,17.81881764255707
0.0,18.239192691349288
0.0,17.61781222272796
0.0,17.20599158363773
0.5,17.997076612961287
0.5,18.53672323731125
0.5,17.35137939600802
0.5,16.720663051667856
0.5,18.123720852005732
3.0,18.49453321054887
3.0,17.779401506487595
3.0,18.208062839527813
3.0,18.202264322168414
3.0,17.674800826823155
5.0,17.57131680325877
5.0,19.031493882075715
5.0,18.369433359965612
5.0,18.387801754424107
5.0,18.811302479955216
10.0,18.37845289691495
10.0,18.254356380843845
10.0,19.837574520252936
10.0,20.09798456377275
10.0,20.76126323202779
0.0,21.328286404567585
0.0,22.258464183961653
0.0,21.44483075726308
0.0,20.993619347670975
0.0,20.83687200808326
0.5,20.44036540716202
0.5,19.675907464260316
0.5,20.409139007083752
0.5,20.070851315650756
0.5,20.669988575511738
3.0,20.819970248894297
3.0,21.61431209309714
3.0,20.34590260830052
3.0,20.525079696985447
3.0,20.52209288824747
5.0,20.639705653325375
5.0,20.662904227624157
5.0,19.822405815642806
5.0,19.970431553859687
5.0,20.755709203146484
10.0,20.124000284573057
10.0,21.495682458538912
10.0,21.521950156571478
10.0,21.43881886281037
10.0,19.79695610480863
0.0,19.843146742439007
0.0,19.174429353688108
0.0,20.012458709123283
0.0,20.00557800732901
0.0,19.148382864232147
0.5,18.28246206537407
0.5,19.747363602830042
0.5,18.886847665822014
0.5,19.59489025156213
0.5,18.72232943563522
3.0,19.695914240506234
3.0,19.952420957244144
3.0,19.075892652824056
3.0,19.061786418144795
3.0,19.276839750948653
5.0,20.604712909788805
5.0,18.83387566574212
5.0,19.933400581865147
5.0,22.147504129932315
5.0,21.495651737609847
10.0,19.21870607530426
10.0,20.219504718297987
10.0,19.270848970711988
10.0,19.527847632041944
10.0,18.590174320417585
0.0,19.059944444763502
0.0,18.71981128100805
0.0,19.06468706201247
0.0,18.69050345893613
0.0,19.151611407662607
0.5,17.8313328767904
0.5,20.092430795457368
0.5,19.593930954973086
0.5,19.569931139284197
0.5,19.242584536936373
3.0,19.184344253106232
3.0,18.76471119902176
3.0,19.054064714794425
3.0,19.94763780082201
3.0,18.38087853543297
5.0,19.425249166066852
5.0,19.024574497730132
5.0,19.245092907656886
5.0,19.222152150077886
5.0,18.946899081108498
10.0,18.68671257306209
10.0,19.810204861020402
10.0,19.48520221899932
10.0,21.261493971807308
10.0,21.353354446904227
