REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.596	 2.255	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.691	 3.806	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.029	 4.183	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.066	 2.921	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 3.996	 4.150	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.028	 4.181	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.300	 3.268	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 4.015	 4.168	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.931	 2.721	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.739	 3.865	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.004	 4.158	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 3.225	 3.157	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 3.867	 4.014	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.032	 4.185	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.319	 3.296	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 4.039	 4.192	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.715	 2.414	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.862	 4.008	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.012	 4.166	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.881	 2.648	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 4.011	 4.165	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.020	 4.174	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 3.156	 3.055	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 4.015	 4.169	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 2.778	 2.501	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 3.631	 3.730	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-3.wav	 4.028	 4.181	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-5.wav	 2.833	 2.579	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-10.wav	 4.059	 4.211	 16000	nb
C:\Users\fha6np\Desktop\loss-0.wav	 C:\Users\fha6np\Desktop\loss-0-5.wav	 4.027	 4.181	 16000	nb
